,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
132,2300,1,45,1,1,0,3,0,0,0,1,1,1,19,865,2024/11/13,1,1,1,0,1,1,1,1,25
133,3900,1,114,1,1,0,2,0,0,0,4,2,2,19,499,2024/11/15,1,1,1,0,1,1,0,1,20
134,2800,1,120,1,1,0,2,0,0,0,4,2,2,19,499,2024/11/15,1,0,0,0,1,1,0,0,10
135,3000,1,119.39,1,0,0,1,0,0,1,4,2,2,21,1774,2024/11/15,1,1,1,0,1,1,1,1,22
136,3000,1,108.11,1,1,0,2,0,0,1,3,2,2,19,810,2024/11/16,1,1,1,1,1,1,1,1,25
137,1430,0,10.42,1,1,0,1,1,0,1,2,1,2,19,1162,2024/11/16,1,1,1,0,1,1,1,1,25
138,1990,0,12.36,1,1,0,2,0,0,1,4,1,2,19,360,2024/11/14,1,1,1,0,1,0,1,1,21
139,1690,0,19,1,0,1,2,0,0,1,5,1,2,19,1138,2024/11/16,1,1,1,0,1,1,1,1,25
140,1460,0,7.6,1,0,0,1,1,0,1,2,1,2,18,514,2024/11/16,1,0,1,0,1,0,1,1,18
141,890,0,9.2,0,0,0,2,0,0,1,5,1,2,18,475,2024/11/16,1,1,1,0,1,1,1,1,25
142,1800,1,90,0,0,0,3,1,0,1,2,1,1,19,679,2024/11/14,1,1,1,1,1,1,1,1,25
143,1630,0,12.95,1,1,0,2,1,0,1,2,1,2,19,1162,2024/11/16,1,0,1,0,1,1,1,1,22
144,4000,1,195,0,0,0,3,0,0,0,6,2,2,19,432,2024/11/12,1,1,1,0,0,1,1,0,15
145,1060,0,9.5,1,0,0,3,0,0,1,5,1,2,19,1139,2024/11/16,1,1,1,0,1,1,1,1,25
146,9000,1,334,0,0,0,1,0,0,1,9,0,7,19,866,2024/11/14,1,1,1,0,1,1,1,1,28
147,2800,1,108,1,1,0,3,0,0,0,3,2,2,20,810,2024/11/15,1,1,1,1,1,1,1,1,28
148,1600,1,56,0,0,0,3,0,0,0,2,1,1,19,717,2024/11/12,1,1,1,1,1,1,1,0,21
149,3600,1,89,1,0,0,1,0,0,1,3,2,1,19,706,2024/11/14,1,1,1,1,1,1,0,1,23
150,3800,1,88.4,1,0,0,1,0,0,1,3,2,2,19,1704,2024/11/15,1,1,1,0,1,1,1,1,22
151,998,0,28,0,0,1,1,0,1,1,4,3,4,12,279,2024/11/13,1,1,1,1,1,1,1,1,31
152,2700,1,89,1,1,0,1,0,0,0,2,2,1,19,1153,2024/11/15,1,1,1,1,1,1,1,1,25
